AC_Input,Availability,Connectivity_Interface,Filament_Compatibility,Filament_Diameter,Layer_Thickness,Machine_Dimensions,Machine_weight,Nozzle_Diameter,Operating_System,Power_Requirements,Print_Plate,Print_Speed,Print_size,Printing_Software,Sold_by,Supported_File_Formats,Warannty,price,title
,In Stock,SD Card / USB,ABS & PLA,,0.1 mm,480*475*620mm,19 Kg,0.4 mm,"MAC, WINDOWS, Linux",,Heated bed,20 to 150 mm/sec,250 x 200 x 200 mm,Replicator G/Cura,Wiiboox,STL / OBJ,One year (some parts is 6 months: nozzle heating cable etc. Some parts is 3 months: the nozzle etc.),$899 USD,Wiiboox 3D Printer - Attain Extraordinary Creativity
,In Stock,"Printing by computer: USB cable
Offline printing: SD Card
",PLA/HS/ABS/PV/PC/HIPS/PVA/Wood/Flexible,1.75 mm,0.18 mm,,7.5kg,"0.4 mm
","Windows
",110/220V,,450 mm/sec,150 x 150 x 140 mm,Weistek Real Vision ,Weistek,STL,1 Year,"$1,299 USD",Weistek ideawerk Super Fast 3D Printer
100 to 240V,In Stock,"Printing by computer: USB cable
Offline printing: SD Card
",PLA,1.75 mm,0.2 mm,298mm(L)*221mm(W)*403mm(H),7.5kg,"0.4 mm
","Windows
",64 W,,30 to 150 mm/sec,150 x 150 x 140 mm,Doraware or ReplicatorG,Weistek,STL/X3G/Gcode,1 Year,$439 USD,Weistek Ideawerk - Portable 3D Printer for professionals
12V 5A,In Stock,USB,,,50 x 50um,230*200*410mm,6.8 kg,,Mac OSX / Windows 7 or above,,,30 - 40mm height/h (max),130*82*155mm,ChituBox/VoxelPrint,Voxelab,"stl, .obj, .3mf, .nmk",,$189 USD,Voxelab Proxima Mono LCD Resin 3D Printer
12V 5A,In Stock,USB,,,50 x 50um,230*200*410mm,6.8 kg,,Mac OSX / Windows 7 or above,,,30 - 40mm height/h (max),115*65*155mm,ChituBox/VoxelPrint,Voxelab,"stl, .obj, .3mf, .nmk",,$159 USD,Voxelab Polaris LCD Resin 3D Printer
,In Stock,"USB, Online, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, Gradient Color etc.",1.75 mm,±0.1mm,,8 kg,0.4 mm,Windows/Mac/Linux,Input: AC 100-265V 50-60hzOutput : DC 24V 15A 360W,,180 mm/sec,220*220*250mm,Cura/Simplify3D/Voxelmaker,Voxelab,"STL, OBJ, AMF",1 year,$179 USD,Voxelab Aquila 3D Printer Kit
,In Stock,,"PLA, ABS, PVA, HIPS, PETG, Nylon, Wood, PC, Carbon Fiber, etc",1.75mm,,,,0.4mm,Win/Mac/Linux,100W Meanwell PS,,300mm/s,120*120*120 mm,Cura/Simplify3D/Slic3r,Vivedino,"STL, G-code, .DAE, .OBJ, .AMF",,$459 USD,Vivedino Voron V0 CoreXY 3D Printer Kit
,In Stock,SD card/USB,"PLA, ABS, PVA, HIPS, PETG, Nylon, Wood, PC, Carbon Fiber, etc",1.75mm,0.1-0.4mm,516*643*764mm,38 kg,0.4mm,Win/Mac/Linux,350W  110/220V,,250mm/s,"300*300*400mm /
400*400*500mm",Cura/Simplify3D/Slic3r/Makerbot Desktop,Vivedino,"STL, G-code, .DAE, .OBJ, .AMF",One Year,"$1,574 USD",Vivedino Troodon CoreXY 3D Printer
,In Stock,SD Card/USB Cable,"ABS, PLA, HIPS, PVA, PETG, TPE, Wood, Nylon, Carbon fiber, PC and Metal fill.",1.75 mm,0.05 to 0.3mm,690 x 630 x 770 mm,23 kg,0.4 mm ,Windows/Mac/Linux,"500 W, 100-240V Broadband",HeatBed,1 to 180 mm/sec,400 x 400 x 500mm / 400 x 400 x 700mm (extended),Cura/Makerbot Desktop/Slic3r/Simplify3D,Vivedino,"STL, Gcode, OBJ",One year,"$1,799 USD",Vivedino T-rex 3 Plus 3D Printer
,In Stock,SD Card/USB Cable,"ABS, PLA, HIPS, PVA, PETG, TPE, Wood, Nylon, Carbon fiber, PC and Metal fill.",1.75 mm,0.05 to 0.3mm,690 x 630 x 770 mm,21 kg,0.4 mm,Windows/Mac/Linux,450 W,HeatBed,1 to 180 mm/sec,400 x 400 x 500mm / 400 x 400 x 700mm (extended version),Cura/Makerbot Desktop/Slic3r/Simplify3D,Vivedino,"STL, Gcode, OBJ",One year,$999 USD,Vivedino Raptor 2 Plus 3D Printer
"100-240 Volts , 50-60 Hz",In Stock,"USB, SD card Supported ",PLA,2.85mm,0.02mm to 0.2mm,460 mm x 430 mm x 430mm,22 kg,0.4mm (J-Head Mk V-BV),Windows/MAC/Linux,"19 volts , 6.23 Amp",Glass with 3M Masking Tape (Upgradable to heated bed),150 mm/sec,190 x 190 x 210 mm,Printware ,J Group Robotics,"STL,OBJ",One year - Limited Warranty,"$1,250 USD",Vector PLA 3D Printer 
"100-240 Volts , 50-60 Hz",In Stock,"USB, SD card Supported ","PLA,ABS,NYLON,PVA,PP,TGLASE,WOOD,STONE,CARBON FIBER & MORE",3mm,0.05mm to 0.2mm,480 mm x 560 mm x 720mm,38kg,0.4mm,Windows/MAC/Linux,"400 volts , 14.5 Amp",Heated bed Glass,150 to 300 mm/sec,250 x 250 x 300 mm,Printware ,J Group Robotics,"STL,OBJ",One year - Limited Warranty,"$3,050 USD",Vector Dual Extruder 3D Printer
AC 100-240V,In Stock,USB / WIFI / Ethernet,,,,350mm * 400mm * 530mm,14 kg,,,,,,192*120*200 mm,,Uniz,STL / OBJ / AMF / 3MF / UNIZ,,$799 USD,Uniz Slash-C Mono LCD Resin 3D Printer
AC 100-240V,In Stock,USB / WIFI / Ethernet,,,,350mm * 400mm * 530mm,15 kg,,,,,,192*120*200 mm,,Uniz,STL / OBJ / AMF / 3MF / UNIZ,,"$3,154 USD",Uniz Slash-2 4K Mono LCD Resin 3D Printer
"100-240VAC, 8A 50/60Hz",In Stock,USB / WIFI / Ethernet,,,,325mm * 325mm * 510mm,20 kg,,,,,,192*120*200 mm,,Uniz,STL / OBJ / AMF / 3MF / UNIZ,,$899 USD,Uniz IBEE 4K Mono LCD Resin 3D Printer
,Out Of Stock,"USB, SD-Card","PLA, ABS, wood materials, flexible materials",1.75 mm,0.05 - 0.3 mm,390*390*426 mm,14.5 kg,0.4 mm,"Windows, MacOS, Linux","110-220V AC, 50/60Hz, 1.5A",,180 mm /sec,220 x 220 x 200 mm,"cura, ideaMake, repetier-host, Simplify3D, slic3r",TwoTrees,STL.OBJ.AMF,One Year,$290 USD,Two Trees Sapphire S Core XY 3D Printer Kit
,In Stock,TF card / online printing,"PLA, ABS, PETG, Wooden Filament",1.75 mm,0.1 - 0.4 mm,L405*W380*H460mm,11.5 kg,0.4 mm,"Windows, MacOS, Linux",220/110V 360W,,300 mm /sec,235 x 235 x 235 mm,"cura, 3DPrinterOS, repetier-host, Simplify3D, slic3r",TwoTrees,"STL.OBJ, JPG",One Year,$329 USD,Two Trees Sapphire Pro CoreXY 3D Printer Kit
,In Stock,TF Card / Online Printing,"PLA, ABS, PETG, wood materials, flexible materials",1.75 mm,0.1 - 0.4 mm,485*460*590 mm,14,0.4 mm,"Windows, MacOS, Linux","110-220V AC, 360W",,300 mm /sec,300 x 300 x 350 mm,"cura, 3DPrinterOS, repetier-host, Simplify3D, slic3r",TwoTrees,STL.OBJ.JPG,One Year,$478 USD,Two Trees Sapphire Plus CoreXY 3D Printer Kit
,In Stock,SD card / online printing,"PLA,ABS,PETG,wooden filament",1.75mm,,410*400*520mm,7.5 Kg,0.4mm,"Win, Mac and Linux",220V/110V 360W,,20-200mm/s,235*235*280mm,"Cura, Repetier-Host, Simplify 3D",TwoTrees,STL/OBJ/Gcode/JPG,,$209 USD,Two Trees Bluer V2 3D Printer Kit
,In Stock,SD card / online printing,"PLA,ABS,PETG,wooden filament",1.75mm,,650*505*646 mm,12.5 Kg,0.4mm,"Win, Mac and Linux",220V/110V 360W,,20-200mm/s,300x300x400mm,"Cura, Repetier-Host, Simplify 3D",TwoTrees,STL/OBJ/Gcode/JPG,,$459 USD,Two Trees Bluer Plus 3D Printer Kit
,In Stock,USB or TF Card,"PLA,ABS,TPU,Wood,copper-bearing,Gradient,etc.",1.75mm,,420*440*510mm,9.8 Kg,0.4 mm,Win/mac/linux,100-120V / 200-240V24V 360W,,20-150mm/sec,255*255*260 mm,"Tronxy-Slicer,Cura",Tronxy,"STL,G-Code,AMF,OBJ,DAE",One Year,$319 USD,Tronxy XY-3 SE 3 in 1 3D Printer
,In Stock,"USB, TF Card",PLA. ABS. HIPS. WOOD. PC . PVC,1.75mm,,485x482x643(mm),12 Kg,0.4mm,"Win, Mac and Linux","110V/220VAC, 50/60Hz Power output 24V 360W",,20-150mm/s,300*300*400mm,"Repetier Host, Cura, Tronxy Exclusive slicing software.",Tronxy,STL.OBJ.DAE.AMF.G-Code ,,$348 USD,Tronxy XY-3 Pro 3D Printer Kit
,Out Of Stock,"USB, SD Card","PLA,ABS, HIPS, WOOD, PVC, PC",1.75mm,,588*544*529mm,11 Kg,0.4mm,"Win, Mac and Linux",360W 110/220v Power input.,,100mm/s,310*310*330mm,"Cura, Repetier-Host, Simplify 3D, Tronxy Slicing Software",Tronxy,STL/OBJ/Gcode/DAE/AMF,,$299 USD,Tronxy XY-3 Large Format 3D Printer Kit
,In Stock,"USB, SD Card",PLA. ABS. HIPS. WOOD. PC . PVC,1.75mm,,478x455x520(mm),8.5 Kg,0.4mm,"Win, Mac and Linux","110V/220VAC, 50/60Hz Power output 24V 360W",,100mm/s,255*255*260mm,"Repetier Host, Cura, Tronxy Exclusive slicing software.",Tronxy,STL.OBJ.DAE.AMF.G-Code ,,$165 USD,Tronxy XY-2 Pro 3D Printer Kit
,In Stock,"USB, SD Card","PLA. ABS. HIPS. PETG, TPU, WOOD. PC . PVC",1.75mm,,445x460x630(mm),9.5 Kg,0.4mm,"Win, Mac and Linux","110V/220VAC, 50/60Hz Power output 24V 360W",,100mm/s,255*255*245mm,"Repetier Host, Cura, Tronxy Exclusive slicing software.",Tronxy,STL.OBJ.DAE.AMF.G-Code ,,$289 USD,Tronxy XY-2 Pro 2E Mix Color 3D Printer Kit
,Out Of Stock,"USB, SD Card",PLA. ABS. HIPS. WOOD. PC . PVC,1.75mm,,426*423*470mm,7 Kg,0.4mm,"Win, Mac and Linux","110V/220VAC, 50/60Hz Power input DC 12V 20A ",,100mm/s,220*220*260mm,"Repetier Host, Cura, Tronxy Exclusive slicing software.",Tronxy,STL.OBJ.DAE.AMF.G-Code ,,$162 USD,Tronxy XY-2 3D Printer Kit
,Out Of Stock,SD card/USB,PLA ABS HLPS Fixibie WOOD PC PVC,1.75mm,0.1-0.4mm,"x5st/2e - 658*631.639mm
x5st-400/500 -  840*755*870mm","x5st/2e - 13 Kg
x5st-400/500 -  20kg",0.4mm / 0.2mm 0.3mm(Optional),"Windows, Mac and Linux",110V/220V 30A,,20-150mm/s,"x5st/2e - 330x330x400mm
x5st-400 -  400x400x500mm
x5st-500 -  500x500x600mm","Repetier-Host, Cura.",Tronxy,STL.G-code PC,,$306 USD,Tronxy X5ST Large CoreXY 3D Printer
,In Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC, TPU etc.",1.75mm,0.1-0.4mm,905*870*1100mm,38 kg,0.4mm,Win/Mac/Linux,110V/220V 50/60 HZ,,20-100mm/s,600*600*600mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,"$1,199 USD",Tronxy X5SA-600 Large CoreXY 3D Printer
,In Stock,SD card/USB,"PLA, ABS, PETG, HIPS, TPU, WOOD, PC, PVC",1.75mm,0.1-0.4mm,940*780*915mm,25 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 30A,,20-100mm/s,500*500*600mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$828 USD,Tronxy X5SA-500-2E CoreXY 3D Printer Kit
,In Stock,SD card/USB,"PLA, ABS, PETG, HIPS, TPU, WOOD, PC, PVC",1.75mm,0.1-0.4mm,800*615*655mm,14 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 30A,,20-100mm/s,400*400*400mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$522 USD,Tronxy X5SA-400-2E CoreXY 3D Printer Kit
,In Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC",1.75mm,0.1-0.4mm,710*635*640mm,13 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 30A,,2-100mm/s,400*400*400mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$396 USD,Tronxy X5SA-400 CoreXY 3D Printer Kit
,In Stock,SD card/USB,"PLA, ABS, PETG, HIPS, TPU, WOOD, PC, PVC",1.75mm,0.1-0.4mm,580*645*660mm,13 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 30A,,20-100mm/s,330*330*400mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$388 USD,Tronxy X5SA-2E CoreXY 3D Printer Kit
,In Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC, TPU etc.",1.75mm,0.1-0.4mm,580*645*660mm,14.5 kg,0.4mm,Win/Mac/Linux,110V/220V 50/60 HZ,,20-100mm/s,330*330*400mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$349 USD,Tronxy X5SA Pro CoreXY Guide Rail 3D Printer Kit
,In Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC, TPU etc.",1.75mm,0.1-0.4mm,760*830*920mm,27 kg,0.4mm,Win/Mac/Linux,110V/220V 50/60 HZ,,20-100mm/s,500*500*600mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$819 USD,Tronxy X5SA 500 Pro Multifunctional CoreXY 3D Printer Kit
,Out Of Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC",1.75mm,0.1-0.4mm,658*580*639mm,13 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 30A,,20-150mm/s,"330*330*400mm 
Upgradeable to 400*400*400mm", Repetier-Host Cura,Tronxy,"STL, G-code",One Year,$399 USD,Tronxy X5S Large CoreXY 3D Printer Kit
,In Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC, TPU etc.",1.75mm,0.1-0.4mm,660*660*680mm,15.5 kg,0.4mm,Win/Mac/Linux,110V/220V 50/60 HZ,,20-100mm/s,400*400*400mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$469 USD,Tronxy X5SA 400 Pro CoreXY Guide Rail 3D Printer Kit
,Out Of Stock,"USB, SD Card","PLA,ABS,HIPS,WOOD,PVC,Nylon, etc",1.75mm,,600*575*525mm,11.5 Kg,0.4mm,"Win, Mac and Linux",360W ,,120mm/s,330*330*410mm,"Cura, Repetier-Host, Simplify 3D",Tronxy,STL/Gcode,,$388 USD,Tronxy X3SA 3D Printer Kit
,Out Of Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC, Nylon,etc",1.75mm,0.06-0.4mm,520*485*500mm,12 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 20A,,20-150mm/s,330*330*420mm , Repetier-Host Cura,Tronxy,"STL, G-code",One Year,$317 USD,Tronxy X3S Large Metal Frame 3D Printer Kit
,In Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC",1.75mm,0.1-0.4mm,710*635*640mm,13 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 30A,,2-100mm/s,330*330*400mm,Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$269 USD,Tronxy X5SA CoreXY 3D Printer Kit
,Out Of Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC, Nylon,etc",1.75mm,0.06-0.4mm,510*475*480mm,8 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 20A,,1-180mm/s,220*220*300mm , Repetier-Host Cura,Tronxy,"STL, G-code",One Year,$174 USD,Tronxy X3 3D Printer Kit
,Out Of Stock,SD card/USB,PLA,1.75mm,0.06-0.4mm,340*365*350mm,3.5 kg,0.4mm(Default) 0.2mm 0.3mm(Optional),Win/Mac/Linux,110V/220V 20A,Fiber Glass Plate,1-180mm/s,150*150*150mm , Repetier-Host Cura,Tronxy,"STL, G-code",One Year,$102 USD,Tronxy X1 Mini Portable 3D Printer Kit
,In Stock,U Disk,Photosensitive resin(405mm),,0.01-0.1mm,200*200*410mm,8.5kg,,Ultrabot,,,20mm/s,120*67*180mm / 130*73*180mm,,Tronxy,"STL,OBJ",,$273 USD,Tronxy Ultrabot SLA LCD Resin 3D Printer 
,Out Of Stock,USB and SD Card.,"PLA,ABS,PVC,PA,PVA,TPU,etc",1.75 mm,,500 x 400 x 470 mm,8 Kg,,,,,40 - 120mm/sec,220 mm x 220 mm x 240mm,"Repetier Host, Cura and Slic3r.",Tronxy,".stl, gcode.",One Year,$129 USD,Tronxy P802M 3D Printer Kit 
,Out Of Stock,USB and SD Card.,"PLA,ABS,PVC,PA,PVA,TPU,etc",1.75 mm,,450 x 430 x 410 mm,8 Kg,,,,,40 - 120mm/sec,220 mm x 220 mm x 210mm,"Repetier Host, Cura and Slic3r.",Tronxy,".stl, gcode.",One Year,$148 USD,Tronxy P802E Reprap 3D Printer DIY Kit 
,In Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, WOOD, PC, PVC, TPU etc.",1.75mm,0.1-0.4mm,380*400*405mm,12 kg,0.4mm,Win/Mac/Linux,110V/220V 360W,,20-100mm/s,220*220*220mm,Cura/Repetier Host/Tronxy Exclusive Slice Software,Tronxy,"STL, G-code, .DAE, .OBJ, .AMF",One Year,$287 USD,Tronxy D01 CoreXY Industrial Guide Rail 3D Printer Kit
0.89A,In Stock,"TF card or USB, LCD display and SD card reader","PLA, ABS, PETG, Wood, PVA and Flexible Filaments ",1.75mm,0.05 mm,560X 600X620mm,14 Kg," 0.4mm (customized 0.3mm/0.2mm)
","Windows, Linux,  Mac","220V, 250W, 50Hz",MK3 - Integrated aluminum plate and heatbed,30 to 150 mm/sec,300 x 300 x 400 mm,"Cura, Repetier-Host",Tevo,"STL, G-code",1 Year,$339 USD,Tevo Tornado 3D Printer Kit
,In Stock,"USB, SD-Card","PLA, ABS, Flexible PLA, Wood, PVA, HIPS ",1.75 mm,0.1 - 0.3 mm,434 x 333 x 504 mm,6.3 kg,0.4 mm,"Windows, MacOS, Linux","110-220V AC, 50/60Hz, DC 24v, 8.5A",,60  to 150 mm /sec,235x235 x250 mm,"Cura, Repetier Host, Simplify3D, Easyprint3D,  Craftware, TinkerCad etc",Tevo,".STL, .OBJ, .GCODE",One Year,$219 USD,Tevo Tarantula Pro 3D Printer Kit
,Out Of Stock,"USB, SD-Card, Wifi","PLA, ABS, Flexible PLA, Wood, PVA, HIPS",1.75 mm,0.1 - 0.3 mm,537 x587 x 624mm,14 kg,0.4 mm,"Windows, MacOS, Linux","100 — 240V, 600W max (w/ heated bed turned on) ",,150 mm /sec, 320 x 320 x 400 mm,"Cura, Repetier Host, Simplify3D",Tevo,".STL, .OBJ, .GCODE",One Year,$349 USD,Tevo Nereus Large Preassembled 3D Printer
,Out Of Stock,"SD card(off-line), contact to the PC(on-line)",PLA TPU,1.75mm,,,,Standard 0.4mm(can be changed to 0.3/0.2mm etc),Windows/Linux/OS X,,,100 mm/s,150 x 150 x 150 mm,,Tevo,,One Year,$229 USD,Tevo Michelangelo 3D Printer - Fully Assembled
DC 400W 24V(With heat bed) ,Out Of Stock,High-speed USB device interface or SD card,"  PLA, Flexible PLA, Wood (Without Heat bed) Nylon, HIPS and ABS (With Heatbed)
",1.75mm,0.05-0.4mm,1120*430*430 mm,10 kg,0.4mm,"Windows , Linux,  Mac",AC110-220V,Heatbed,300 mm/sec,280 x 280 x 600 mm ,"Repetier host,Pronterface",Tevo,"STL, G-code",12 Months,$720 USD,Tevo Little Monster Large Delta 3D Printer
,Out Of Stock,"SD card(off-line), contact to the PC(on-line)","PLA, ABS, Flexible PLA, HIPS, WOOD, PVA",1.75mm,,,,Standard 0.4mm(can be changed to 0.3/0.2mm etc),Windows/Linux/OS X,,,150 mm/s,235 x 235 x 250 mm,,Tevo,,One Year,$299 USD,Tevo Flash 3D Printer Kit
0.89A,Out Of Stock,"TF card or USB, LCD display and SD card reader","PLA, ABS, Nylon, PETG, Wood, PVA and Flexible Filaments (With Pro Metal Extruder). ",1.75mm,0.05 mm,430 x 440x 400mm,7.5 Kg,"0.4 mm 
","Windows, Linux,  Mac",100 to 240 V/120 W,MK3 - Integrated aluminum plate and heatbed,30 to 150 mm/sec,200 x 200 x 200 mm,"Cura, Repetier-Host",Tevo,"STL, G-code",1 Year,$359 USD,Tevo 3D Tarantula - Single/Dual Extruder 3D Printer Kit
50/60 Hz AC power,Out Of Stock,"USB, LCD display and SD card reader
","PLA, ABS, Nylon, PETG,   Wood, PVA and Flexible Filaments ",1.75mm,50 microns,650*510*520mm,13kg,"0.4mm (customized 0.3mm/0.2mm) 
","Windows, Linux,  Mac","110V/220V, 500W ", heatbed,70 mm/s,370 x 250 x 300 mm,"Cura, Repetier-Host",Tevo,"STL, G-code",1 Year,$599 USD,Tevo 3D - Black Widow Auto Leveling / Laser Engraving 3D Printer Kit
110 - 220 v,Out Of Stock,"Cloud support online, SD Card.","PLA, ABS, PETG, WOOD",,,390 x 390 x 590 mm,15 kg,0.4 mm,Win/Mac/Linux.,,,80 to 120 mm/sec,250 x 250 x 250 mm,,Sun Hokey,".STL, .OBJ, G-Code",One Year,$448 USD,Sunhokey U250 Large Desktop 3D Printer 
,Out Of Stock,,"PLA, ABS, Wood, Carbon Fiber",1.75 mm,,,,0.4 mm,,,,10 - 100mm/sec,260 x 260 x 260 mm,,Sun Hokey,,One Year,$388 USD,Sunhokey S1 Full Metal V Slot 3D Printer Kit 
,Out Of Stock,"USB, LCD display and SD card reader
","PLA, ABS, HIPS, WOOD, PVC, Nylon, PC and Flexible PLA.",1.75 mm,0.1 mm-  0.5 mm,430 x 505 x 380 mm,11 kg,0.4 mm (customized 0.3mm/0.5mm),Windows/MAC/Linux,Input: 100-120VAC/4.8A or 200-240VAC/2.4A,Heated Bed ( Aluminium Platform),40 to 100 mm/sec,210 x 210 x 190 mm,Repetier-Host,Sun Hokey,"STL, G-code",12 Months,$346 USD,Sunhokey Reprap Prusa i4 Semi Assembled 3D Printer 
"100-120VAC/4.8A or 200-240VAC/2.4A
",Out Of Stock,"USB, LCD display and SD card reader
","ABS, PLA, HIPS ,PVA, Nylon and Wood (Multi Filaments Print Supports )",1.75mm,"0.1 mm - 0.4 mm
",430 * 505 * 380 mm,"8 kg
","0.4 mm 
","Windows, Linux,  Mac", DC 12V / 30A,"Heated Bed (Aluminium)
","40 to 100 mm/sec
","200 x 200 x 180 mm
",Repetier-Host,Sun Hokey,"STL, G-code",12 Months,$234 USD,Sunhokey Acrylic Reprap Prusa i3 DIY Kit 
,In Stock,"Ethernet, USB, Wifi",,,,465 * 500* 790 mm,,,,LED Power: 160WPower Input :100-240 VAC – 50/60 HZ,,150mm to 300mm/hour,293 * 165 * 400 mm,ChiTu Box,Sparkmaker,,,"$2,299 USD",Sparkmaker PrintHero4K LCD Resin 3D Printer
,In Stock,SD Card Offline Printing,,,,170 x 275 mm,3 Kg,,,24V 2A 48W,,,98*55*125mm,Spark Studio,Sparkmaker,,,$129 USD,SparkMaker Original LCD Curing Resin 3D Printer
,In Stock,SD Card Offline Printing,,,,170 x 275 mm,3 Kg,,,DC 24V 4A 96W,,,110mm*61.8mm*125mm,Spark Studio,Sparkmaker,,,$179 USD,SparkMaker FHD LCD Curing Resin 3D Printer
,In Stock,SD Card or Data Cable,"PLA, TPU, HIPS, ABS, PETG, WOOD",1.75mm,,587.4mm (L) x 674.9mm (W) x840mm (H),13.8 Kg,0.4mm,"Windows XP/ Vista/ 7/ 10, Mac, Linux","115V/230V AC, 24V350W,24V",,20~120mm/s(suggested 60mm/s),350 x 350 x 400mm,"Cura, Simplify3D, Prusa slicer",Sovol," .STL, .OBJ, .DAE, .AMF",,$429 USD,Sovol SV03 3D Printer Kit
,In Stock,Online or SD card offline,"TPU, PLA, ABS, PETG,WOOD",1.75mm,,539*493*710mm,11.86 KG,0.4mm,"Windows, Mac, Linux","115V/230V AC, 24V350W,24V",,20 - 200mm/sec,240X280X300mm,"Cura, Simplify3D, Prusa slicer",Sovol,"AMF,OBJ,STL",,$345 USD,Sovol SV02 Mix Color 3D Printer
,In Stock,SD Card / Online Printing,"TPU, PLA, ABS, PETG,WOOD",1.75mm,,500*550*540mm,9.8 Kg,0.4mm,"Windows XP/ Vista/ 7/ 10, Mac, Linux","115V/230V AC, 24V350W,24V",,20 - 200mm/sec,240X280X300mm,"Cura, Simplify3D, Prusa slicer",Sovol,"AMF,OBJ,STL",,$269 USD,Sovol SV01 3D Printer Kit
,In Stock,"Ethernet, USB, Wi-Fi","ABS, PLA, PETG, TPU, nylon, carbon fiber, and PC",1.75mm,50 microns,56 * 45 * 42cm/ 22 * 17.7 * 16.5in,21kg/ 46.3lb,0.4mm,Windows 64-bit/macOS,"350 W, 110-220 V",,30-150 mm/s,270 * 200 * 200mm,"Cura/Qidi Print, Simplify3D",Qidi Tech,,,$719 USD,Qidi Tech X-Plus FDM 3D Printer
,In Stock,"Ethernet, USB, Wi-Fi","ABS, PLA, PETG, TPU, nylon, carbon fiber, and PC",1.75mm,50 microns,600 x 550 x 600 mm,27.9 kg,0.4mm,Windows 64-bit/macOS,"450 W, 110-220 V",,30-150 mm/s,300 x 250 x 300 mm,"Cura/Qidi Print, Simplify3D",Qidi Tech,,,"$1,029 USD",Qidi Tech X-Max Large 3D Printer
12V 5A,In Stock,USB,,,,245*230*420mm,7 kg,,Mac OSX / Windows 7 or above,50W,,20 - 40mm height/h (max),115mm(L)*65mm(W)*150mm(H),ChituBox 64,Qidi Tech,"stl, .obj, .slc",,$229 USD,Qidi Tech Shadow 6.0 Pro LCD Resin 3D Printer
12V 5A,In Stock,USB,,,,245*230*420mm,7 kg,,Mac OSX / Windows 7 or above,50W,,20 - 40mm height/h (max),115mm(L)*65mm(W)*150mm(H),ChituBox 64,Qidi Tech,"stl, .obj, .slc",,$149 USD,Qidi Tech Shadow 5.5S LCD Resin 3D Printer
12V 5A,In Stock,USB,,,,565*365*490mm,25.4 kg,,Mac OSX / Windows 7 or above,200W,,20 - 40mm height/h (max),215mm(L)*130mm(W)*200mm(H),ChituBox 64,Qidi Tech,"stl, .obj, .slc",,$689 USD,Qidi Tech S-Box Large LCD Resin 3D Printer
,In Stock,"Ethernet, USB, Wi-Fi","ABS, PLA, PETG, TPU, nylon, carbon fiber, and PC",1.75mm,50 microns,582*465*435mm,21.6kg,0.4mm,Windows 64-bit/macOS,"350 W, 110-220 V",,30-150 mm/s,260 * 200 * 200mm,"Cura/Qidi Print, Simplify3D",Qidi Tech,,,$499 USD,Qidi Tech i-Mate S FDM 3D Printer
